id,slug,year,shadow,details
19,mojave-max,2000,0.0,"2000-03-15, 12:32 PM, Wednesday"
19,mojave-max,2001,1.0,"2001-03-19, 8:30 AM, Monday"
19,mojave-max,2002,1.0,"2002-03-22, ,11:46 AM, Friday"
19,mojave-max,2003,0.0,"2003-03-07, 10:25 AM, Friday"
19,mojave-max,2004,0.0,"2004-02-19, 11:14 AM, Thursday"
19,mojave-max,2005,0.0,"2005-02-14, 11:55 AM, Monday, Earliest emergence"
19,mojave-max,2006,1.0,"2006-04-03, 11:32 AM, Monday"
19,mojave-max,2007,1.0,"2007-03-26, 11:34 AM, Monday"
19,mojave-max,2008,1.0,"2008-04-14, 11:27 AM, Monday"
19,mojave-max,2009,1.0,"2009-04-07, 2:37 PM, Tuesday"
19,mojave-max,2010,1.0,"2010-03-30, 9:23 AM, Tuesday"
19,mojave-max,2011,1.0,"2011-03-29, 2:03 PM, Tuesday"
19,mojave-max,2012,1.0,"2012-04-17, 12:41 PM, Tuesday"
19,mojave-max,2013,0.0,"2013-03-14, 1:45 PM, Thursday"
19,mojave-max,2014,1.0,"2014-04-07, 4:10 PM, Monday"
19,mojave-max,2015,1.0,"2015-04-15, 2:17 PM, Wednesday"
19,mojave-max,2016,0.0,"2016-03-08, 1:20 PM, Tuesday"
19,mojave-max,2017,1.0,"2017-04-05, 12:40 PM, Wednesday"
19,mojave-max,2018,1.0,"2018-03-23, 11:11 AM, Friday"
19,mojave-max,2019,1.0,"2019-03-30, 1:28 PM, Saturday"
19,mojave-max,2020,1.0,"2020-04-01, 11:39 AM, Wednesday"
19,mojave-max,2021,1.0,"2021-04-15, 11:34 AM, Thursday"
19,mojave-max,2022,1.0,"2022-03-26, 12:21 PM, Saturday"
19,mojave-max,2023,1.0,"2023-04-24, 3:40 PM, Monday, Latest emergence"
19,mojave-max,2024,,
